Study area,Region.Label,Area,Sample.Label,Effort,distance,size,object,observer,detected,side,exp,fatigue,gscat,vis,glare,ssmi,altitude,obsname
Nominal_area,1,1000000,99A21,59.72,270.9,1,54499,1,1,L,211.7,79.46,1,G,N,78,41.4066,MF
Nominal_area,1,1000000,99A21,59.72,270.9,1,54499,2,1,L,0,79.46,1,G,N,78,41.4066,MH
Nominal_area,1,1000000,99A21,59.72,152.56,1,54501,1,1,R,0,79.5,1,G,N,78,41.4066,YH
Nominal_area,1,1000000,99A21,59.72,152.56,1,54501,2,1,R,177.9,79.5,1,G,N,78,41.4066,HZ
Nominal_area,1,1000000,99A21,59.72,255.17,1,54502,1,1,R,0,79.61,1,G,N,78,41.4066,YH
Nominal_area,1,1000000,99A21,59.72,255.17,1,54502,2,1,R,177.9,79.61,1,G,N,78,41.4066,HZ
Nominal_area,1,1000000,99A21,59.72,1.56,2,54504,1,1,R,0,80.15,2,G,N,78,41.4066,YH
Nominal_area,1,1000000,99A21,59.72,1.56,2,54504,2,1,R,177.9,80.15,2,G,N,78,41.4066,HZ
Nominal_area,1,1000000,99A21,59.72,52.21,1,54505,1,1,R,0,80.78,1,G,N,78,41.24535,YH
Nominal_area,1,1000000,99A21,59.72,52.21,1,54505,2,1,R,177.9,80.78,1,G,N,78,41.24535,HZ
Nominal_area,1,1000000,99A21,59.72,325.21,1,54507,1,0,R,0,82.63,1,G,N,78,41.03978,YH
Nominal_area,1,1000000,99A21,59.72,325.21,1,54507,2,1,R,177.9,82.63,1,G,N,78,41.03978,HZ
Nominal_area,1,1000000,99A21,59.72,166.53,1,54508,1,1,R,0,84.53,1,G,N,78,41.03978,YH
Nominal_area,1,1000000,99A21,59.72,166.53,1,54508,2,1,R,177.9,84.53,1,G,N,78,41.03978,HZ
Nominal_area,1,1000000,99A21,59.72,457.5,1,54509,1,1,L,211.7,84.56,1,G,N,71,40.41726,MF
Nominal_area,1,1000000,99A21,59.72,457.5,1,54509,2,1,L,0,84.56,1,G,N,71,40.41726,MH
Nominal_area,1,1000000,99A21,59.72,40.19,2,54511,1,1,R,25.5,89.73,2,G,N,71,40.41726,YH
Nominal_area,1,1000000,99A21,59.72,40.19,2,54511,2,1,R,203.4,89.73,2,G,N,71,40.41726,HZ
Nominal_area,1,1000000,99A22,31.63,23.48,2,54513,1,1,L,237.2,90.63,2,G,N,71,40.33682,MF
Nominal_area,1,1000000,99A22,31.63,23.48,2,54513,2,1,L,25.5,90.63,2,G,N,71,40.33682,MH
Nominal_area,1,1000000,99A22,31.63,511.6,1,54514,1,1,R,25.5,91.06,1,G,N,71,40.33682,YH
Nominal_area,1,1000000,99A22,31.63,511.6,1,54514,2,0,R,203.4,91.06,1,G,N,71,40.33682,HZ
Nominal_area,1,1000000,99A22,31.63,214.44,1,54516,1,1,R,25.5,91.2,1,G,N,71,40.33682,YH
Nominal_area,1,1000000,99A22,31.63,214.44,1,54516,2,1,R,203.4,91.2,1,G,N,71,40.33682,HZ
Nominal_area,1,1000000,99A22,31.63,82.25,1,54517,1,1,L,237.2,91.3,1,G,N,71,40.33682,MF
Nominal_area,1,1000000,99A22,31.63,82.25,1,54517,2,1,L,25.5,91.3,1,G,N,71,40.33682,MH
Nominal_area,1,1000000,99A22,31.63,92.69,1,54519,1,1,R,25.5,91.61,1,G,N,71,40.33682,YH
Nominal_area,1,1000000,99A22,31.63,92.69,1,54519,2,1,R,203.4,91.61,1,G,N,71,40.33682,HZ
Nominal_area,1,1000000,99A22,31.63,178.78,1,54520,1,1,L,237.2,92.09,1,G,N,71,40.0913,MF
Nominal_area,1,1000000,99A22,31.63,178.78,1,54520,2,1,L,25.5,92.09,1,G,N,71,40.0913,MH
Nominal_area,1,1000000,99A22,31.63,506.4,1,54523,1,0,L,237.2,93.78,1,G,N,71,40.0913,MF
Nominal_area,1,1000000,99A22,31.63,506.4,1,54523,2,1,L,25.5,93.78,1,G,N,71,40.0913,MH
Nominal_area,1,1000000,99A22,31.63,261.71,1,54526,1,0,R,25.5,94.88,1,G,N,71,39.8906,YH
Nominal_area,1,1000000,99A22,31.63,261.71,1,54526,2,1,R,203.4,94.88,1,G,N,71,39.8906,HZ
Nominal_area,1,1000000,99A22,31.63,77.15,1,54528,1,1,L,237.2,95.66,1,G,N,71,39.8906,MF
Nominal_area,1,1000000,99A22,31.63,77.15,1,54528,2,1,L,25.5,95.66,1,G,N,71,39.8906,MH
Nominal_area,1,1000000,99A22,31.63,166.53,1,54529,1,1,R,25.5,95.68,1,G,N,71,39.8906,YH
Nominal_area,1,1000000,99A22,31.63,166.53,1,54529,2,1,R,203.4,95.68,1,G,N,71,39.8906,HZ
Nominal_area,1,1000000,99A22,31.63,335.63,2,54530,1,1,L,237.2,95.73,2,G,N,71,39.8906,MF
Nominal_area,1,1000000,99A22,31.63,335.63,2,54530,2,1,L,25.5,95.73,2,G,N,71,39.8906,MH
Nominal_area,1,1000000,99A22,31.63,306.58,1,54532,1,0,R,25.5,95.88,1,G,N,71,39.8906,YH
Nominal_area,1,1000000,99A22,31.63,306.58,1,54532,2,1,R,203.4,95.88,1,G,N,71,39.8906,HZ
Nominal_area,1,1000000,99A22,31.63,106.45,1,54535,1,1,L,237.2,96.83,1,G,N,71,39.64192,MF
Nominal_area,1,1000000,99A22,31.63,106.45,1,54535,2,1,L,25.5,96.83,1,G,N,71,39.64192,MH
Nominal_area,1,1000000,99A22,31.63,421.4,1,54536,1,0,L,237.2,97.78,1,G,N,71,39.64192,MF
Nominal_area,1,1000000,99A22,31.63,421.4,1,54536,2,1,L,25.5,97.78,1,G,N,71,39.64192,MH
