x,y,Depth,SST,NPP,DistToCAS,EKE,off.set,LinkID
557984.6181,728253.9925,2726.6567,12.2357,1519.5792,3469.1514,0.0372,1e+08,72
567984.6181,728253.9925,2627.7952,11.9499,1512.6636,7308.6235,0.0409,1e+08,73
577984.6181,728253.9925,2844.9529,11.5402,1656.7272,7340.8677,0.0377,1e+08,74
587984.6181,728253.9925,3277.5488,11.4633,1656.3882,3552.3748,0.0338,1e+08,75
597984.6181,728253.9925,3507.5051,11.4827,1453.2023,2853.4482,0.0286,1e+08,76
607984.6181,728253.9925,3558.9646,11.7803,1609.1107,6743.9727,0.0233,1e+08,77
377984.6181,718253.9925,88.9365,9.5128,1192.7583,21162.3867,0.0029,1e+08,78
387984.6181,718253.9925,98.8961,9.7875,1355.0127,19930.3184,0.0016,1e+08,79
397984.6181,718253.9925,109.707,10.2607,1350.1287,15630.7061,7e-04,1e+08,80
407984.6181,718253.9925,129.9646,10.8694,1792.0009,6918.1943,5e-04,1e+08,81
417984.6181,718253.9925,322.0207,11.5763,1754.2257,1301.8745,4e-04,1e+08,82
427984.6181,718253.9925,138.7907,12.2532,1592.8677,4845.6318,6e-04,1e+08,83
437984.6181,718253.9925,212.9815,12.7237,1697.6865,2536.9204,8e-04,1e+08,84
447984.6181,718253.9925,151.5017,13.0225,1621.8755,3358.9885,0.001,1e+08,85
457984.6181,718253.9925,548.7626,13.1315,1521.1309,1114.7991,0.0013,1e+08,86
467984.6181,718253.9925,351.2146,13.2229,1439.5802,3392.3496,0.0018,1e+08,87
477984.6181,718253.9925,847.2462,13.3008,1424.7672,1718.484,0.0024,1e+08,88
487984.6181,718253.9925,1123.0957,13.1103,1312.3208,987.0299,0.0039,1e+08,89
497984.6181,718253.9925,1713.9323,12.9166,1454.8076,1072.9701,0.0057,1e+08,90
507984.6181,718253.9925,1932.4053,12.7101,1553.5693,1372.9448,0.008,1e+08,91
517984.6181,718253.9925,2068.7483,12.6756,1746.4735,1232.6149,0.0106,1e+08,92
527984.6181,718253.9925,2288.0642,12.7378,1846.8691,623.102,0.015,1e+08,93
537984.6181,718253.9925,2449.9346,12.9374,1729.3192,1284.8459,0.0206,1e+08,94
547984.6181,718253.9925,2668.0515,13.09,1701.8418,542.5798,0.0259,1e+08,95
557984.6181,718253.9925,2904.9453,13.0262,1661.479,423.5977,0.0307,1e+08,96
567984.6181,718253.9925,3068.7349,12.7589,1682.8717,2209.6677,0.033,1e+08,97
577984.6181,718253.9925,2945.9194,12.2839,1867.0146,6990.335,0.0297,1e+08,98
587984.6181,718253.9925,3295.8313,12.0452,1721.7185,8563.0977,0.0264,1e+08,99
597984.6181,718253.9925,3516.2212,11.8996,1804.3081,4134.4595,0.0229,1e+08,100
607984.6181,718253.9925,3674.5811,12.168,1525.5957,1557.1072,0.0197,1e+08,101
357984.6181,708253.9925,89.5943,9.972,1356.3605,23338.998,0.0043,1e+08,102
367984.6181,708253.9925,95.6145,10.1373,1272.4917,18991.9375,0.0034,1e+08,103
377984.6181,708253.9925,101.3117,10.3462,1324.1906,12688.8613,0.0026,1e+08,104
387984.6181,708253.9925,117.9423,10.6311,1359.9346,11885.252,0.0019,1e+08,105
397984.6181,708253.9925,136.5057,11.0949,1666.3243,10621.9131,0.0014,1e+08,106
407984.6181,708253.9925,178.629,11.7055,1975.8387,5120.124,0.0013,1e+08,107
417984.6181,708253.9925,871.6232,12.4268,1982.1476,583.0302,0.0013,1e+08,108
427984.6181,708253.9925,286.2076,13.1332,1853.1196,2982.7593,0.0014,1e+08,109
437984.6181,708253.9925,645.4508,13.5767,1696.0334,1455.8121,0.0015,1e+08,110
447984.6181,708253.9925,555.6251,13.8738,1576.0441,1066.6144,0.0016,1e+08,111
457984.6181,708253.9925,1213.7102,13.9723,1353.2697,825.4222,0.0018,1e+08,112
467984.6181,708253.9925,1099.756,14.1141,1340.2509,1591.624,0.0021,1e+08,113
477984.6181,708253.9925,1500.2786,14.2814,1331.1998,1508.4893,0.0024,1e+08,114
487984.6181,708253.9925,1872.1041,14.0809,1267.9126,1069.4406,0.0035,1e+08,115
497984.6181,708253.9925,1968.1221,13.8476,1366.1888,1250.542,0.0047,1e+08,116
507984.6181,708253.9925,2095.3906,13.528,1513.9601,1268.6365,0.0065,1e+08,117
517984.6181,708253.9925,2260.2214,13.3875,1805.188,2416.5312,0.0086,1e+08,118
527984.6181,708253.9925,2412.814,13.3785,1872.3872,2758.0579,0.0119,1e+08,119
537984.6181,708253.9925,2739.6748,13.591,1814.0536,913.8325,0.0163,1e+08,120
547984.6181,708253.9925,2902.8804,13.8033,1663.2063,851.4858,0.0199,1e+08,121
557984.6181,708253.9925,2946.0693,13.8079,1641.8782,265.51,0.0222,1e+08,122
567984.6181,708253.9925,3215.302,13.5766,1753.7383,149.7233,0.0233,1e+08,123
577984.6181,708253.9925,3339.292,13.0364,1765.0106,1993.4797,0.0208,1e+08,124
587984.6181,708253.9925,3446.5022,12.6479,1787.9109,7855.1382,0.0185,1e+08,125
597984.6181,708253.9925,3582.6707,12.3261,1731.4625,9075.1152,0.017,1e+08,126
607984.6181,708253.9925,3698.2222,12.5596,1752.1323,4597.6294,0.0158,1e+08,127
177984.6181,698253.9925,107.5254,12.5137,1177.6345,44908.8633,8e-04,1e+08,128
327984.6181,698253.9925,92.9638,10.8958,2233.1296,14457.9102,0.0034,1e+08,129
337984.6181,698253.9925,107.1964,10.6899,1287.9083,8918.2178,0.0033,1e+08,130
347984.6181,698253.9925,111.277,10.6131,1440.1575,12135.3643,0.0033,1e+08,131
357984.6181,698253.9925,111.425,10.6185,1466.3263,15647.8418,0.0032,1e+08,132
367984.6181,698253.9925,121.8056,10.8836,1427.8035,13317.8438,0.003,1e+08,133
377984.6181,698253.9925,140.1596,11.1774,1512.8456,6177.7803,0.0028,1e+08,134
387984.6181,698253.9925,249.0643,11.4725,1573.5724,3869.1694,0.0026,1e+08,135
397984.6181,698253.9925,218.056,11.9278,1847.6664,4433.6792,0.0024,1e+08,136
407984.6181,698253.9925,671.2516,12.5404,1987.8389,1685.3713,0.0023,1e+08,137
417984.6181,698253.9925,1014.623,13.2752,1857.1113,514.5864,0.0023,1e+08,138
427984.6181,698253.9925,1213.4597,14.0078,1407.0039,575.1176,0.0022,1e+08,139
437984.6181,698253.9925,1429.1215,14.4054,1236.8065,455.9073,0.0022,1e+08,140
447984.6181,698253.9925,1328.4865,14.6764,1291.9558,831.9777,0.0022,1e+08,141
457984.6181,698253.9925,1610.9062,14.7562,1223.6959,349.6945,0.0023,1e+08,142
467984.6181,698253.9925,1576.4788,14.9366,1165.0643,1294.5532,0.0024,1e+08,143
477984.6181,698253.9925,1876.6378,15.1791,1198.9067,1492.3431,0.0025,1e+08,144
487984.6181,698253.9925,2028.5044,15.0412,1253.0752,1125.3092,0.0031,1e+08,145
497984.6181,698253.9925,2310.4026,14.8497,1312.1945,1985.9124,0.0038,1e+08,146
507984.6181,698253.9925,2424.5608,14.5147,1401.8456,1470.5768,0.005,1e+08,147
517984.6181,698253.9925,2631.6829,14.3157,1568.1415,2088.1724,0.0067,1e+08,148
527984.6181,698253.9925,2596.626,14.2282,1714.5129,5410.314,0.009,1e+08,149
537984.6181,698253.9925,2730.9548,14.342,1605.7845,5829.7158,0.0121,1e+08,150
547984.6181,698253.9925,3009.1038,14.4697,1682.9955,2127.3154,0.0142,1e+08,151
557984.6181,698253.9925,3143.5977,14.3878,1618.4785,1409.864,0.0141,1e+08,152
567984.6181,698253.9925,3227.72,14.1346,1340.7444,2413.4509,0.0139,1e+08,153
577984.6181,698253.9925,3497.3806,13.6241,1602.3972,1541.0128,0.0127,1e+08,154
587984.6181,698253.9925,3584.4019,13.2191,1615.7603,6637.0303,0.0115,1e+08,155
597984.6181,698253.9925,3674.3206,12.8727,1388.0724,13567.0723,0.0118,1e+08,156
607984.6181,698253.9925,3796.4651,12.9607,1546.0765,12666.5029,0.012,1e+08,157
617984.6181,698253.9925,3892.946,13.1458,1368.0153,7974.2197,0.0106,1e+08,158
157984.6181,688253.9925,114.1311,12.8944,1397.231,25830.5703,0.0015,1e+08,159
167984.6181,688253.9925,125.7941,12.9589,1552.8829,31694.9922,9e-04,1e+08,160
177984.6181,688253.9925,129.0086,12.9345,1401.4806,37943.7344,4e-04,1e+08,161
187984.6181,688253.9925,126.7439,12.8737,1582.006,34495.1328,2e-04,1e+08,162
197984.6181,688253.9925,123.4807,12.6745,1637.7324,26835.8105,2e-04,1e+08,163
207984.6181,688253.9925,119.277,12.4577,1454.2129,20821.3594,3e-04,1e+08,164
217984.6181,688253.9925,115.8658,12.1995,1340.584,18137.4121,4e-04,1e+08,165
227984.6181,688253.9925,110.8112,11.9989,1324.1188,18591.3516,5e-04,1e+08,166
237984.6181,688253.9925,103.2948,11.8407,1284.4523,16397.2305,7e-04,1e+08,167
247984.6181,688253.9925,102.1653,11.8382,1304.4705,16069.7295,9e-04,1e+08,168
257984.6181,688253.9925,100.1612,11.8593,1356.0674,20623.7988,0.0013,1e+08,169
267984.6181,688253.9925,96.454,11.895,1386.3052,25943.6172,0.0017,1e+08,170
307984.6181,688253.9925,87.92,11.6017,1404.8241,23709.7227,0.0018,1e+08,171
317984.6181,688253.9925,94.4874,11.5191,1622.3907,18746.8984,0.0016,1e+08,172
327984.6181,688253.9925,107.9623,11.4427,1945.261,10635.7549,0.0014,1e+08,173
337984.6181,688253.9925,217.5558,11.3751,1474.5005,2942.384,0.0015,1e+08,174
347984.6181,688253.9925,144.1599,11.4648,1580.2858,6068.8003,0.0018,1e+08,175
357984.6181,688253.9925,183.2135,11.6666,1589.5409,7487.5464,0.0022,1e+08,176
367984.6181,688253.9925,198.5749,12.0409,1611.7511,6866.4375,0.0026,1e+08,177
377984.6181,688253.9925,208.5058,12.4253,1631.2655,3812.0679,0.0031,1e+08,178
387984.6181,688253.9925,647.957,12.726,1662.7397,1252.1487,0.0034,1e+08,179
397984.6181,688253.9925,734.9375,13.1183,1678.3649,1329.1694,0.0036,1e+08,180
407984.6181,688253.9925,1407.3124,13.6114,1855.9364,601.2053,0.0034,1e+08,181
417984.6181,688253.9925,1605.4558,14.1915,1684.3054,435.6871,0.0032,1e+08,182
427984.6181,688253.9925,1955.2545,14.7838,1331.9692,292.2733,0.003,1e+08,183
437984.6181,688253.9925,1992.1163,15.0472,1224.2516,287.9541,0.0028,1e+08,184
447984.6181,688253.9925,1912.5961,15.2498,1249.4694,770.1767,0.0028,1e+08,185
457984.6181,688253.9925,2041.0935,15.3531,1193.1761,344.1248,0.0027,1e+08,186
467984.6181,688253.9925,1932.717,15.6033,1133.6862,1805.2115,0.0027,1e+08,187
477984.6181,688253.9925,2002.4229,15.9582,1070.7919,3516.0688,0.0026,1e+08,188
487984.6181,688253.9925,2202.155,15.9765,1187.9839,2906.6416,0.0027,1e+08,189
497984.6181,688253.9925,2611.8367,15.9187,1272.4185,1733.3191,0.0028,1e+08,190
507984.6181,688253.9925,2797.6157,15.6416,1340.1835,2476.7136,0.0037,1e+08,191
517984.6181,688253.9925,2862.5649,15.4062,1414.098,3196.6628,0.0052,1e+08,192
527984.6181,688253.9925,2897.4456,15.2035,1431.1902,3511.7368,0.0074,1e+08,193
537984.6181,688253.9925,2878.9622,15.1528,1392.3346,9295.2617,0.0107,1e+08,194
547984.6181,688253.9925,3106.6028,15.1351,1557.4596,7374.2236,0.0132,1e+08,195
557984.6181,688253.9925,3350.4094,14.9355,1560.0234,4015.2639,0.0135,1e+08,196
567984.6181,688253.9925,3414.8057,14.6459,1493.7948,7522.4956,0.0136,1e+08,197
577984.6181,688253.9925,3552.2349,14.191,1378.9674,8282.3887,0.012,1e+08,198
587984.6181,688253.9925,3656.1086,13.7906,1595.5145,10876.7168,0.0104,1e+08,199
597984.6181,688253.9925,3783.2908,13.4316,1469.7806,17064.0996,0.0099,1e+08,200
607984.6181,688253.9925,3891.1206,13.3785,1447.2965,19847.377,0.0093,1e+08,201
617984.6181,688253.9925,4006.6748,13.4358,1611.0763,14913.0879,0.0086,1e+08,202
137984.6181,678253.9925,90.741,13.5211,1248.176,14526.5303,0.0024,1e+08,203
147984.6181,678253.9925,110.4007,13.6225,1395.9744,13095.7471,0.0017,1e+08,204
157984.6181,678253.9925,152.2939,13.7336,1435.3713,17707.6621,9e-04,1e+08,205
167984.6181,678253.9925,163.0282,13.856,1378.2031,24272.5234,5e-04,1e+08,206
177984.6181,678253.9925,155.2603,13.8885,1280.1161,30976.7285,3e-04,1e+08,207
187984.6181,678253.9925,142.6923,13.8804,1475.618,29572.1621,3e-04,1e+08,208
197984.6181,678253.9925,131.9083,13.6705,1626.0979,20829.4941,5e-04,1e+08,209
207984.6181,678253.9925,126.7599,13.436,1543.3232,12839.498,5e-04,1e+08,210
217984.6181,678253.9925,145.6011,13.1491,1472.6674,8312.2441,5e-04,1e+08,211
227984.6181,678253.9925,136.7897,12.9129,1505.6268,10261.2998,5e-04,1e+08,212
237984.6181,678253.9925,143.6509,12.7179,1510.6869,8025.7437,5e-04,1e+08,213
247984.6181,678253.9925,143.059,12.6361,1520.1968,7657.5352,6e-04,1e+08,214
257984.6181,678253.9925,131.5054,12.5702,1508.8927,14402.1025,8e-04,1e+08,215
267984.6181,678253.9925,120.613,12.4848,1394.0413,17346.8438,0.001,1e+08,216
277984.6181,678253.9925,110.2143,12.3702,1195.1598,17185.459,0.0015,1e+08,217
287984.6181,678253.9925,104.1819,12.2144,1151.4768,12985.5703,0.0019,1e+08,218
297984.6181,678253.9925,99.9983,12.0867,1202.6276,12351.3867,0.0024,1e+08,219
307984.6181,678253.9925,96.3549,11.9711,1400.6884,16551.9883,0.003,1e+08,220
317984.6181,678253.9925,103.7879,11.9839,1431.0759,13010.9268,0.0037,1e+08,221
327984.6181,678253.9925,143.213,12.0292,1472.3241,6985.6279,0.0046,1e+08,222
337984.6181,678253.9925,363.0306,12.1483,1434.2079,1983.5988,0.0055,1e+08,223
347984.6181,678253.9925,262.0067,12.4197,1519.7284,2815.6763,0.0064,1e+08,224
357984.6181,678253.9925,688.1054,12.8157,1599.7314,2450.8022,0.007,1e+08,225
367984.6181,678253.9925,744.131,13.2837,1647.7418,1491.9409,0.0071,1e+08,226
377984.6181,678253.9925,967.1749,13.7431,1642.2343,1006.9087,0.007,1e+08,227
387984.6181,678253.9925,1548.7246,14.0277,1750.8073,1369.7334,0.0063,1e+08,228
397984.6181,678253.9925,1597.1852,14.3446,1376.934,822.3136,0.0056,1e+08,229
407984.6181,678253.9925,1926.1202,14.7006,1416.4321,382.3555,0.0046,1e+08,230
417984.6181,678253.9925,2115.1399,15.1226,1490.4236,292.5551,0.0037,1e+08,231
427984.6181,678253.9925,2169.0642,15.5689,1271.3242,280.7858,0.0034,1e+08,232
437984.6181,678253.9925,2228.1614,15.7022,1214.2596,449.8428,0.0031,1e+08,233
447984.6181,678253.9925,2207.5662,15.8208,1212.4432,580.7437,0.003,1e+08,234
457984.6181,678253.9925,2486.2717,15.9417,1174.8607,156.0424,0.0031,1e+08,235
467984.6181,678253.9925,2292.4883,16.2281,1138.0474,385.1514,0.0029,1e+08,236
477984.6181,678253.9925,2129.7512,16.6614,1030.7419,1753.8401,0.0026,1e+08,237
487984.6181,678253.9925,2353.8157,16.8047,1068.088,5812.355,0.0022,1e+08,238
497984.6181,678253.9925,2747.7988,16.8679,1125.6719,6366.9282,0.0018,1e+08,239
507984.6181,678253.9925,3046.0479,16.6669,1262.1169,2172.7581,0.0023,1e+08,240
517984.6181,678253.9925,3071.895,16.4585,1368.4396,3373.7505,0.0039,1e+08,241
527984.6181,678253.9925,3160.9756,16.2186,1411.7745,2285.7778,0.0062,1e+08,242
537984.6181,678253.9925,3241.9438,16.0416,1333.6791,6421.0151,0.0097,1e+08,243
547984.6181,678253.9925,3407.115,15.874,1373.9661,11296.3008,0.0127,1e+08,244
557984.6181,678253.9925,3570.9751,15.5177,1362.9828,10858.6221,0.0131,1e+08,245
567984.6181,678253.9925,3607.6177,15.1137,1380.8422,11199.752,0.0134,1e+08,246
577984.6181,678253.9925,3605.2756,14.6421,1345.2626,9712.9229,0.0115,1e+08,247
587984.6181,678253.9925,3721.311,14.2702,1149.6902,9220.6592,0.0095,1e+08,248
597984.6181,678253.9925,3817.9094,14.0083,1280.0306,14169.002,0.0081,1e+08,249
607984.6181,678253.9925,3941.7996,14.0406,1318.2865,20781.2852,0.0068,1e+08,250
617984.6181,678253.9925,4041.9302,14.1896,1424.5022,19852.8125,0.0066,1e+08,251
117984.6181,668253.9925,94.1892,13.7193,1232.952,20233.627,0.0029,1e+08,252
127984.6181,668253.9925,96.0766,13.9372,1327.4286,16893.6621,0.0024,1e+08,253
137984.6181,668253.9925,111.5094,14.1746,1403.3398,8334.6631,0.0018,1e+08,254
147984.6181,668253.9925,196.8765,14.3759,1437.4678,4912.9634,0.0012,1e+08,255
157984.6181,668253.9925,248.7216,14.5707,1454.4958,10451.6191,6e-04,1e+08,256
167984.6181,668253.9925,278.778,14.7509,1397.3639,17189.1934,5e-04,1e+08,257
177984.6181,668253.9925,263.7283,14.8374,1448.189,25314.2676,7e-04,1e+08,258
187984.6181,668253.9925,248.905,14.8769,1465.4248,26628.875,9e-04,1e+08,259
197984.6181,668253.9925,224.5145,14.6551,1477.2068,17624.4258,0.0012,1e+08,260
207984.6181,668253.9925,213.2204,14.4,1462.3073,8001.1279,0.0012,1e+08,261
217984.6181,668253.9925,302.0213,14.0812,1522.9178,1406.7108,0.0011,1e+08,262
227984.6181,668253.9925,254.6088,13.8113,1571.6891,5253.9966,0.001,1e+08,263
237984.6181,668253.9925,299.3223,13.5875,1621.9314,3315.3293,9e-04,1e+08,264
247984.6181,668253.9925,209.7609,13.4469,1646.6967,3712.0601,8e-04,1e+08,265
257984.6181,668253.9925,160.0385,13.3205,1578.932,8166.8223,0.0011,1e+08,266
267984.6181,668253.9925,145.545,13.1408,1397.4917,8122.9062,0.0014,1e+08,267
277984.6181,668253.9925,135.9718,12.9452,1290.5364,9692.9814,0.0021,1e+08,268
287984.6181,668253.9925,133.9385,12.7083,1356.2351,5372.8003,0.0028,1e+08,269
297984.6181,668253.9925,163.3625,12.5358,1422.9504,4816.083,0.0039,1e+08,270
307984.6181,668253.9925,111.09,12.3973,1411.8157,10387.4219,0.0051,1e+08,271
317984.6181,668253.9925,167.4745,12.4809,1335.8678,7150.2793,0.0068,1e+08,272
327984.6181,668253.9925,533.4117,12.6112,1290.8353,1915.2559,0.0087,1e+08,273
337984.6181,668253.9925,799.6528,12.8486,1253.0071,1247.3232,0.0103,1e+08,274
347984.6181,668253.9925,1336.9041,13.1993,1278.4235,1113.0576,0.0116,1e+08,275
357984.6181,668253.9925,1313.0775,13.6513,1388.2562,712.8273,0.0122,1e+08,276
367984.6181,668253.9925,1707.1742,14.1122,1632.0138,549.4202,0.0117,1e+08,277
377984.6181,668253.9925,1949.4019,14.5529,1570.3597,913.2532,0.0109,1e+08,278
387984.6181,668253.9925,2221.2273,14.7868,1554.7594,1137.3314,0.0093,1e+08,279
397984.6181,668253.9925,2351.8433,15.0181,1343.7584,1672.9003,0.0076,1e+08,280
407984.6181,668253.9925,2471.9055,15.2425,1316.1063,1153.8959,0.006,1e+08,281
417984.6181,668253.9925,2502.5715,15.5095,1335.1158,152.5844,0.0042,1e+08,282
427984.6181,668253.9925,2517.707,15.7936,1280.4551,383.5903,0.0038,1e+08,283
437984.6181,668253.9925,2598.8306,15.8877,1224.4094,1292.6237,0.0033,1e+08,284
447984.6181,668253.9925,2468.0256,15.9866,1197.1392,4125.29,0.0033,1e+08,285
457984.6181,668253.9925,2693.2751,16.147,1127.0437,2506.1323,0.0034,1e+08,286
467984.6181,668253.9925,2758.7219,16.4635,1065.0728,968.6584,0.0031,1e+08,287
477984.6181,668253.9925,1440.6261,16.9329,1034.618,4114.5713,0.0026,1e+08,288
487984.6181,668253.9925,2130.1768,17.2199,1027.1879,8472.5107,0.0018,1e+08,289
497984.6181,668253.9925,2811.1138,17.4538,1028.2867,11873.6309,8e-04,1e+08,290
507984.6181,668253.9925,3186.5615,17.4567,992.4576,4573.3076,9e-04,1e+08,291
517984.6181,668253.9925,3236.6958,17.4169,1073.4136,992.3999,0.0027,1e+08,292
527984.6181,668253.9925,3280.0962,17.2661,1160.5051,1368.5933,0.0053,1e+08,293
537984.6181,668253.9925,3501.3499,17.0141,1231.8013,4387.9829,0.0096,1e+08,294
547984.6181,668253.9925,3612.1038,16.6822,1202.425,12638.0576,0.0138,1e+08,295
557984.6181,668253.9925,3725.1873,16.1368,1155.9318,14972.7773,0.0151,1e+08,296
567984.6181,668253.9925,3775.5117,15.5652,1129.3231,7906.9883,0.0165,1e+08,297
577984.6181,668253.9925,3242.8857,15.0523,1074.8527,2318.7195,0.014,1e+08,298
587984.6181,668253.9925,3553.2168,14.7064,1000.5638,2366.7573,0.011,1e+08,299
597984.6181,668253.9925,3903.0491,14.5723,1148.8597,8938.4307,0.0085,1e+08,300
607984.6181,668253.9925,3966.0891,14.7074,1189.0326,15142.9453,0.0058,1e+08,301
617984.6181,668253.9925,4108.1909,14.9506,1267.7866,17184.1738,0.005,1e+08,302
