"","CenterTime","SegmentID","Depth","DistToCAS","SST","EKE","NPP","x","y","Effort","Sample.Label"
"118","2004/07/03 15:01:46",118,4248.87939453125,25417.8359375,23.6642436981201,0.289696544408798,623.317687988281,421985.809999999,489871.9825,9767.4697265625,118
"119","2004/07/03 15:34:45",119,4168.73681640625,25919.912109375,23.3726940155029,0.217576876282692,615.833312988281,414999.360100001,496697.215600001,9767.4697265625,119
"120","2004/07/03 16:07:06",120,4087.78491210938,26576.294921875,23.068021774292,0.17364963889122,579.18701171875,408079.308600001,503589.673900001,9767.4697265625,120
"121","2004/07/03 16:38:52",121,3997.07299804688,27280.771484375,22.79026222229,0.128967612981796,576.392150878906,401334.664799999,510653.483100001,9767.4697265625,121
"122","2004/07/03 17:10:30",122,3876.546875,28878.603515625,22.5730152130127,0.0841473713517189,555.341430664062,394657.324000001,517780.750399999,9767.4697265625,122
"123","2004/07/03 17:43:13",123,3709.67504882812,29902.4609375,22.408052444458,0.03395139798522,527.35302734375,387848.367400002,524773.4277,9767.4697265625,123
"124","2004/07/04 09:55:29",124,3561.79858398438,29285.92578125,22.0820579528809,0.0335192568600178,530.101135253906,379755.16,532285.2741,10226.11328125,124
"125","2004/07/04 14:04:19",125,3431.79711914062,28222.36328125,21.9330654144287,0.0306542348116636,657.334411621094,371617.352200001,539288.248600001,10226.11328125,125
"126","2004/07/04 14:41:33",126,3312.72827148438,24369.052734375,21.8222846984863,0.0205490253865719,673.389953613281,363268.802000001,547473.5362,10226.11328125,126
"127","2004/07/04 15:15:29",127,3221.44067382812,17299.443359375,21.8642101287842,0.0191708616912365,697.180725097656,356317.043000001,554967.1198,10226.11328125,127
"128","2004/07/04 15:49:36",128,3150.25048828125,12077.966796875,21.9556064605713,0.0169097743928432,707.109191894531,349047.6505,562158.794299999,10226.11328125,128
"129","2004/07/04 16:24:27",129,3106.97485351562,11471.759765625,21.9981861114502,0.0210248548537493,710.758605957031,341720.710900001,569292.363299999,10226.11328125,129
"130","2004/07/04 17:00:13",130,3050.79443359375,12796.99609375,21.9276924133301,0.0205977316945791,703.41796875,334285.716699999,576312.5677,10226.11328125,130
"131","2004/07/04 17:36:36",131,2950.01611328125,10493.17578125,21.7507266998291,0.0161406192928553,736.705993652344,326754.522599999,583229.650900001,10226.11328125,131
"132","2004/07/05 06:20:09",132,2844.8466796875,7071.5791015625,21.9512100219727,0.0118757048621774,751.194519042969,319660.845400002,590210.9597,9523.1708984375,132
"133","2004/07/05 06:54:03",133,2812.22216796875,2516.30615234375,21.9065895080566,0.0121389403939247,758.091186523438,314369.720800001,589773.590700001,9523.1708984375,133
"134","2004/07/05 07:29:10",134,2902.32739257812,1123.57678222656,22.1160888671875,0.0196442678570747,745.365783691406,312437.030099999,580473.953,9523.1708984375,134
"135","2004/07/05 08:02:05",135,2973.51904296875,4988.94580078125,22.600492477417,0.024453442543745,699.539611816406,310380.3627,571180.266100001,9523.1708984375,135
"136","2004/07/05 08:35:07",136,3053.07275390625,9805.5068359375,23.109920501709,0.0249407105147839,627.337463378906,308846.800500002,561784.357799999,9523.1708984375,136
"137","2004/07/05 09:09:03",137,3131.64477539062,15637.013671875,23.4110813140869,0.0253978464752436,593.446166992188,307188.298500001,552408.7446,9523.1708984375,137
"138","2004/07/05 09:44:13",138,3199.22021484375,22893.154296875,23.6910381317139,0.0232169255614281,623.6376953125,305005.879500002,543144.720100001,9523.1708984375,138
"139","2004/07/05 10:19:23",139,3266.16650390625,29863.8046875,23.8252124786377,0.0180383194237947,649.827453613281,302491.9639,533959.897600001,9523.169921875,139
"140","2004/07/05 11:47:03",140,3322.30493164062,34631.91796875,23.8115520477295,0.014500230550766,589.40087890625,301036.969900001,525084.2181,9523.1708984375,140
"141","2004/07/05 13:14:09",141,3388.15185546875,39432.52734375,23.8141746520996,0.0123612275347114,549.713134765625,299230.5266,516970.1811,9523.1708984375,141
"142","2004/07/06 06:28:27",142,3459.40966796875,45589.08203125,24.5076885223389,0.0137212043628097,511.633514404297,296995.156100001,507864.092499999,9925.1884765625,142
"143","2004/07/06 07:03:24",143,3536.83520507812,52553.48046875,24.7478694915771,0.015557499602437,502.543121337891,294790.076499999,498188.191299999,9925.1884765625,143
"144","2004/07/06 07:38:19",144,3596.84252929688,59759.4609375,25.044828414917,0.020131329074502,509.394805908203,292736.2634,488477.896299999,9925.1884765625,144
"145","2004/07/06 08:13:28",145,3704.82788085938,67346.5390625,25.3612728118896,0.0325766392052174,524.0732421875,290754.896899998,478752.759199999,9925.1884765625,145
"146","2004/07/06 08:49:04",146,3775.58520507812,68542.890625,25.6629848480225,0.0448105484247208,500.891143798828,288710.4027,469041.5494,9925.1884765625,146
"147","2004/07/06 09:25:08",147,3858.91162109375,61322.1875,25.942985534668,0.0521519929170609,459.142913818359,286768.049899999,459310.325300001,9925.1884765625,147
"148","2004/07/06 10:08:27",148,3911.12719726562,54619.80859375,26.2179069519043,0.0754681155085564,436.873687744141,285273.796599999,448978.7554,9925.1884765625,148
"149","2004/07/06 10:51:58",149,3987.64331054688,48277.48046875,26.6296653747559,0.0742706805467606,361.440338134766,283344.298700001,437785.579299999,9925.1884765625,149
"150","2004/07/06 12:20:04",150,4067.50390625,42675.48828125,27.0363540649414,0.0903787463903427,360.525360107422,280272.7225,425977.115,9925.1884765625,150
"151","2004/07/06 13:49:43",151,4131.263671875,40451.75390625,27.1948261260986,0.111145198345184,334.277618408203,277905.534699999,415421.206599999,9925.1884765625,151
"152","2004/07/06 14:29:39",152,4174.72705078125,40686.5546875,27.3618831634521,0.132753252983093,358.627593994141,275630.0887,405761.861199999,9925.1884765625,152
"153","2004/07/06 16:00:20",153,4200.2373046875,38868.9609375,27.5125694274902,0.155138894915581,348.75830078125,272118.7152,399893.4319,9925.1884765625,153
"154","2004/07/07 14:58:37",154,3958.49633789062,15662.748046875,27.2778186798096,0.0601464249193668,416.432952880859,252446.445099998,426866.247199999,9932.421875,154
"155","2004/07/07 15:33:20",155,3893.97827148438,15355.3798828125,26.8853397369385,0.0318127237260342,459.90869140625,246931.705499999,435126.525,9932.421875,155
"156","2004/07/07 16:06:48",156,3836.11254882812,17042.48046875,26.4581680297852,0.0571220554411411,495.494049072266,241588.672400001,443498.9057,9932.421875,156
"157","2004/07/07 16:39:32",157,3716.9326171875,17019.1328125,26.1255950927734,0.0629283040761948,519.109741210938,236255.948800001,451877.0284,9932.421875,157
"158","2004/07/07 17:12:17",158,3578.943359375,16310.2578125,25.8916873931885,0.0687307268381119,442.975402832031,230694.898200002,460106.0338,9932.421875,158
"159","2004/07/07 17:44:20",159,3455.42919921875,15912.9033203125,25.6602363586426,0.0528362356126308,466.021331787109,225145.9756,468342.227700001,9932.4208984375,159
"160","2004/07/08 06:17:46",160,2356.24365234375,1720.16125488281,22.4612197875977,0.00488400179892778,693.092834472656,52115.5436999984,538354.5666,10211.2529296875,160
"161","2004/07/08 06:51:34",161,2073.06298828125,890.162353515625,22.3437557220459,0.00481515424326062,681.353332519531,51855.5850999989,548561.466700001,10211.2529296875,161
"162","2004/07/08 07:32:22",162,1484.45654296875,1231.27697753906,22.2291946411133,0.00434334157034755,646.819030761719,52336.947900001,558862.168099999,10211.2529296875,162
"163","2004/07/08 08:13:07",163,972.7060546875,1954.36962890625,22.1174468994141,0.00386628578417003,682.468811035156,52692.7164999992,569185.8563,10211.2529296875,163
"164","2004/07/08 08:46:37",164,346.722137451172,5360.4814453125,21.9959335327148,0.00284718396142125,771.6796875,51950.7939000018,579369.9189,10211.2529296875,164
"165","2004/07/08 09:24:54",165,148.461578369141,12897.0341796875,21.858081817627,0.00166072009596974,956.523498535156,51035.3368999995,590918.780400001,10211.2529296875,165
"166","2004/07/08 10:03:08",166,128.607299804688,8597.609375,21.7063026428223,0.000877140380907804,1149.34423828125,50179.1400000006,603059.3279,10211.2529296875,166
"167","2004/07/08 10:35:49",167,203.691116333008,1832.24768066406,21.5522270202637,0.000648310757242143,1229.78454589844,49695.6755000018,613258.76,10211.2529296875,167
"168","2004/07/08 11:08:25",168,327.476409912109,928.415222167969,21.422342300415,0.0004237235407345,1272.68896484375,49581.7391000018,623462.217,10211.2529296875,168
"169","2004/07/08 12:23:31",169,94.0944671630859,4405.4814453125,21.4308624267578,0.00189466087613255,1322.79064941406,50664.0428999998,632663.158600001,10211.2529296875,169
"170","2004/07/08 13:40:12",170,112.271179199219,6312.28076171875,21.4606590270996,0.001181137165986,1266.36706542969,56315.6004000008,628580.5265,10211.2529296875,170
"171","2004/07/08 14:15:48",171,119.446662902832,7762.333984375,21.5665340423584,0.000588044582400471,1204.72827148438,63417.3202,621246.187200001,10211.2529296875,171
"172","2004/07/08 14:50:08",172,174.901290893555,4618.18408203125,21.8156318664551,0.00308544398285449,1012.74847412109,70702.2105999999,614093.824999999,10211.2529296875,172
"173","2004/07/08 15:23:30",173,510.322906494141,1979.42456054688,22.0545959472656,0.0027231730055064,827.899108886719,77834.9246999994,606787.6503,10211.2529296875,173
"174","2004/07/08 15:57:22",174,786.956115722656,2035.39953613281,22.2618770599365,0.00235514505766332,759.871948242188,85043.1207000017,599555.623,10211.2529296875,174
"175","2004/07/08 16:31:43",175,1295.87170410156,2382.71215820312,22.2630195617676,0.00600522477179766,718.040893554688,92183.0150000006,592257.150699999,10211.2529296875,175
"176","2004/07/08 17:06:17",176,1866.51318359375,2171.6572265625,22.2681999206543,0.00511260377243161,697.422729492188,99157.3341999985,584800.155300001,10211.2529296875,176
"177","2004/07/08 17:41:21",177,2284.06884765625,1720.32458496094,22.2932739257812,0.00419876957312226,699.31298828125,106209.811799999,577416.204299999,10211.2529296875,177
"178","2004/07/09 06:16:40",178,2468.1318359375,1233.52111816406,22.6078567504883,0.00143215339630842,665.065307617188,112824.900899999,570987.2696,10115.4931640625,178
"179","2004/07/09 06:50:14",179,2403.73217773438,2827.99829101562,22.6179485321045,0.00211256509646773,675.617431640625,119888.573399998,563747.1643,10115.4931640625,179
"180","2004/07/09 07:24:04",180,2532.04809570312,7889.87255859375,22.5845031738281,0.00326593476347625,725.408630371094,126967.954700001,556522.1228,10115.4931640625,180
"181","2004/07/09 07:58:20",181,2622.33203125,11602.3896484375,22.5160675048828,0.00713443988934159,791.020385742188,134094.731800001,549343.661800001,10115.4931640625,181
"182","2004/07/09 08:32:34",182,2734.74145507812,11328.716796875,22.4959697723389,0.00832246337085962,818.554748535156,141289.254799999,542233.1108,10115.4931640625,182
"183","2004/07/09 09:05:58",183,2870.24853515625,8422.0859375,22.5043468475342,0.0084985438734293,780.367004394531,148492.969300002,535131.886499999,10115.4931640625,183
"184","2004/07/09 09:39:21",184,2958.35424804688,2984.02490234375,22.7352352142334,0.00710415560752153,767.869201660156,155712.288400002,528046.892899999,10115.4931640625,184
"185","2004/07/09 10:16:33",185,3163.50830078125,1195.04248046875,22.8453178405762,0.00659727677702904,753.931884765625,160182.538800001,526470.2106,10115.4931640625,185
"186","2004/07/09 10:55:21",186,3100.86450195312,1309.46252441406,22.5753765106201,0.00962172448635101,716.895141601562,158291.7707,536049.915100001,10115.4931640625,186
"187","2004/07/09 12:09:53",187,2916.337890625,1716.06115722656,22.6121616363525,0.0119688613340259,743.992797851562,156501.586399999,545544.813999999,10115.4931640625,187
"188","2004/07/09 13:24:44",188,2863.365234375,2394.26611328125,22.6480903625488,0.012284941971302,761.664184570312,154495.509,555333.4441,10115.4931640625,188
"189","2004/07/09 14:11:38",189,2807.03930664062,7155.67431640625,22.6724739074707,0.0126170786097646,782.125549316406,152335.223099999,565659.4969,10115.4931640625,189
"190","2004/07/09 14:58:52",190,2689.623046875,18130.1640625,22.7073822021484,0.00598182482644916,775.334106445312,149816.344599999,578563.518200001,10115.4931640625,190
"191","2004/07/10 06:17:07",191,2613.16235351562,22878.447265625,22.7553749084473,0.00875772815197706,802.85498046875,148264.845899999,587395.9834,10261.9091796875,191
"192","2004/07/10 06:53:28",192,2538.482421875,18129.162109375,22.6538524627686,0.0112019805237651,820.231506347656,146284.6952,597464.787699999,10261.9091796875,192
"193","2004/07/10 07:31:06",193,2454.3798828125,15905.328125,22.4431056976318,0.0113398404791951,831.381774902344,144235.316300001,607519.9594,10261.9091796875,193
"194","2004/07/10 08:07:48",194,2143.47241210938,12322.7255859375,22.1627750396729,0.0112847676500678,871.85595703125,142218.194400001,617580.8925,10261.9091796875,194
"195","2004/07/10 08:42:04",195,1888.97924804688,10889.939453125,21.9251651763916,0.0107158329337835,955.527038574219,140150.838500001,627631.558599999,10261.9091796875,195
"196","2004/07/10 09:16:01",196,1380.91870117188,11433.6591796875,21.7393360137939,0.0077332747168839,1080.99426269531,137857.655699998,637633.486199999,10261.9091796875,196
"197","2004/07/10 09:50:21",197,745.883483886719,12050.935546875,21.5333995819092,0.00474586104974151,1166.09619140625,135560.770199999,647630.4454,10261.9091796875,197
"198","2004/07/10 10:25:17",198,345.275665283203,9906.04296875,21.258975982666,0.00276577332988381,1202.88110351562,134322.510899998,657783.2466,10261.9091796875,198
"199","2004/07/10 11:00:30",199,108.016006469727,9921.78125,21.0275440216064,0.00221351976506412,1273.36596679688,132054.828400001,667756.8399,10261.9091796875,199
"200","2004/07/10 12:08:33",200,92.5570297241211,11097.953125,21.0005073547363,0.00191310665104538,1299.22583007812,131502.8068,673316.3532,10261.9091796875,200
"201","2004/07/10 13:16:48",201,142.972778320312,3499.17944335938,20.9500980377197,0.00225576059892774,1259.72290039062,138868.683400001,667298.079500001,10261.9091796875,201
"202","2004/07/10 13:51:59",202,440.40576171875,978.159484863281,21.1363010406494,0.00264758756384254,1257.67224121094,146591.5042,660541.581599999,10261.9091796875,202
"203","2004/07/10 14:26:22",203,666.115478515625,2434.212890625,21.3329162597656,0.00158406374976039,1138.14221191406,154172.750100002,653627.310699999,10261.9091796875,203
"204","2004/07/10 15:00:19",204,1097.64489746094,8898.1923828125,21.6029853820801,0.00257005426101387,1052.07995605469,161954.016800001,646939.8345,10261.9091796875,204
